adtEndDd,adtFrDd,npayCd,npayDtlDivCd,npayDtlDivCdNm,npayKorNm,npayMdivCd,npayMdivCdNm,npaySdivCd,npaySdivCdNm,cmmtTxt
99991231,20241126,1010A,1010A,상급병실료,상급병실료,1010A,상급병실료,1010A,상급병실료,
99991231,20241126,ABZ010001,1010A010,1인실,상급병실료/1인실,1010A,상급병실료,1010A010,1인실,
99991231,20241126,ABZ020001,1010A020,2인실,상급병실료/2인실,1010A,상급병실료,1010A020,2인실,
99991231,20241126,ABZ030001,1010A030,3인실,상급병실료/3인실,1010A,상급병실료,1010A030,3인실,
99991231,20241126,ABZ040001,1010A040,4인실,상급병실료/4인실,1010A,상급병실료,1010A040,4인실,
99991231,20241126,ABZ050001,1010A050,5인실,상급병실료/5인실,1010A,상급병실료,1010A050,5인실,
99991231,20241126,1010B,1010B,교육상담료,교육상담료,1010B,교육상담료,1010B,교육상담료,
99991231,20241126,AZ0010000,1010B010,당뇨병교육,교육상담료/당뇨병교육,1010B,교육상담료,1010B010,당뇨병교육,
99991231,20241126,AZ0020000,1010B020,고혈압교육,교육상담료/고혈압교육,1010B,교육상담료,1010B020,고혈압교육,
99991231,20241126,AZ0070000,1010B030,치태조절교육,교육상담료/치태조절교육,1010B,교육상담료,1010B030,치태조절교육,
99991231,20241126,AZ0080000,1010B040,고지혈증교육,교육상담료/고지혈증교육,1010B,교육상담료,1010B040,고지혈증교육,
99991231,20241126,AZ0090000,1010B050,재생불량성빈혈교육,교육상담료/재생불량성빈혈교육,1010B,교육상담료,1010B050,재생불량성빈혈교육,
99991231,20241126,AZ0100000,1010B060,유전성대사장애질환교육,교육상담료/유전성대사장애질환교육,1010B,교육상담료,1010B060,유전성대사장애질환교육,
99991231,20241126,AZ0110000,1010B070,난치성뇌전증교육,교육상담료/난치성뇌전증교육,1010B,교육상담료,1010B070,난치성뇌전증교육,
99991231,20241126,1021Z,1021Z,검체검사료,검체검사료,1021Z,검체검사료,1021Z,검체검사료,
99991231,20241126,CZ1140000,1021Z010,호산구양이온단백농도측정검사,검체검사료/호산구양이온단백농도측정검사,1021Z,검체검사료,1021Z010,호산구양이온단백농도측정검사,
99991231,20241126,CY1530000,1021Z020,비타민 D1 [RIA법],검체검사료/비타민 D1 [RIA법],1021Z,검체검사료,1021Z020,비타민 D1 [RIA법],
99991231,20241126,CZ1960000,1021Z030,안드로스테네디온,검체검사료/안드로스테네디온,1021Z,검체검사료,1021Z030,안드로스테네디온,
99991231,20241126,CZ1990000,1021Z040,DHEA(Dehydroepiandrosterone),검체검사료/DHEA(Dehydroepiandrosterone),1021Z,검체검사료,1021Z040,DHEA(Dehydroepiandrosterone),
99991231,20241126,CZ2020000,1021Z050,성호르몬결합글로불린,검체검사료/성호르몬결합글로불린,1021Z,검체검사료,1021Z050,성호르몬결합글로불린,
99991231,20241126,CZ2460000,1021Z060,허혈성 변형 알부민 검사,검체검사료/허혈성 변형 알부민 검사,1021Z,검체검사료,1021Z060,허혈성 변형 알부민 검사,
99991231,20241126,CZ3940000,1021Z070,인플루엔자 A·B 바이러스항원검사[현장검사],검체검사료/인플루엔자 A·B 바이러스항원검사[현장검사],1021Z,검체검사료,1021Z070,인플루엔자 A·B 바이러스항원검사[현장검사],
99991231,20241126,D37300000,1021Z080,항뮬러관호르몬 [정밀면역검사],검체검사료/항뮬러관호르몬 [정밀면역검사],1021Z,검체검사료,1021Z080,항뮬러관호르몬 [정밀면역검사],
99991231,20241126,3Z2600001,1021Z090,비침습적 산전검사(NIPT),검체검사료/비침습적 산전검사(NIPT),1021Z,검체검사료,1021Z090,비침습적 산전검사(NIPT),
99991231,20250414,1021Z100,1021Z100,혈소판 응집능검사 [교류저항혈소판응집],검체검사료/혈소판 응집능검사 [교류저항혈소판응집],1021Z,검체검사료,1021Z100,혈소판 응집능검사 [교류저항혈소판응집],
99991231,20250414,BZ0780000,BZ0780000,TRAP,검체검사료/혈소판 응집능검사 [교류저항혈소판응집]/TRAP,1021Z,검체검사료,1021Z100,혈소판 응집능검사 [교류저항혈소판응집],
99991231,20250414,D66200000,1021Z110,SARS-CoV-2 항원검사 [일반면역검사]-간이검사,검체검사료/SARS-CoV-2 항원검사 [일반면역검사]-간이검사,1021Z,검체검사료,1021Z110,SARS-CoV-2 항원검사 [일반면역검사]-간이검사,
