adtEndDd,adtFrDd,clCd,clCdNm,curAmt,npayCd,npayKorNm,sgguCd,sgguCdNm,sidoCd,sidoCdNm,sno,urlAddr,yadmNm,yadmNpayCdNm,ykiho
99991231,20250903,21,병원,40000,EB4620000,"초음파검사료(진단초음파)/근골격, 연부-관절 초음파/발가락 ",110001,강남구,110000,서울,44,http://www.cdrusk.co.kr/renewal/sub/sub07/sub0701.php?ptype=view&idx=5815&page=1&code=payment,청담병원,"근골격,연부-관절 일반초음파-발가락(편측)",JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ5MiQzNjE4MzIjNTEjJDEjJDIjJDgz
99991231,20250903,21,병원,10000,PDZ110004,제증명수수료/진료기록영상/CD,110001,강남구,110000,서울,20,http://www.cdrusk.co.kr/renewal/sub/sub07/sub0701.php?ptype=view&idx=5815&page=1&code=payment,청담병원,CD복사,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ5MiQzNjE4MzIjNTEjJDEjJDIjJDgz
99991231,20250903,21,병원,40000,EB4610000,"초음파검사료(진단초음파)/근골격, 연부-관절 초음파/손가락 ",110001,강남구,110000,서울,43,http://www.cdrusk.co.kr/renewal/sub/sub07/sub0701.php?ptype=view&idx=5815&page=1&code=payment,청담병원,"근골격,연부-관절 일반초음파-손가락(편측)",JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ5MiQzNjE4MzIjNTEjJDEjJDIjJDgz
99991231,20260109,21,병원,330000,ABZ010001,상급병실료/1인실,110001,강남구,110000,서울,3,http://www.cdrusk.co.kr/renewal/sub/sub07/sub0701.php?ptype=view&idx=5815&page=1&code=payment,청담병원,1인실(B),JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ5MiQzNjE4MzIjNTEjJDEjJDIjJDgz
99991231,20250903,21,병원,100000,PDZ140002,제증명수수료/향후진료비추정서/천만원 이상,110001,강남구,110000,서울,25,http://www.cdrusk.co.kr/renewal/sub/sub07/sub0701.php?ptype=view&idx=5815&page=1&code=payment,청담병원,향후진료비추정서(천만원이상),JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ5MiQzNjE4MzIjNTEjJDEjJDIjJDgz
99991231,20250903,21,병원,1000,PDZ160000,제증명수수료/제증명서 사본,110001,강남구,110000,서울,29,http://www.cdrusk.co.kr/renewal/sub/sub07/sub0701.php?ptype=view&idx=5815&page=1&code=payment,청담병원,사망진단서 사본,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ5MiQzNjE4MzIjNTEjJDEjJDIjJDgz
99991231,20250903,21,병원,40000,PDZ100000,제증명수수료/국민연금 장애 심사용 진단서,110001,강남구,110000,서울,18,http://www.cdrusk.co.kr/renewal/sub/sub07/sub0701.php?ptype=view&idx=5815&page=1&code=payment,청담병원,국민연금 장애 심사용 진단서,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ5MiQzNjE4MzIjNTEjJDEjJDIjJDgz
99991231,20260109,21,병원,110000,FZ6850000,기능 검사료(신경계 기능검사)/섭식장애평가,110001,강남구,110000,서울,86,http://www.cdrusk.co.kr/renewal/sub/sub07/sub0701.php?ptype=view&idx=5815&page=1&code=payment,청담병원,섭식장애평가,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ5MiQzNjE4MzIjNTEjJDEjJDIjJDgz
99991231,20260109,21,병원,55000,SZ0840000,처치 및 수술료(근골)/체외충격파치료[근골격계질환],110001,강남구,110000,서울,34,http://www.cdrusk.co.kr/renewal/sub/sub07/sub0701.php?ptype=view&idx=5815&page=1&code=payment,청담병원,체외충격파치치료(0),JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ5MiQzNjE4MzIjNTEjJDEjJDIjJDgz
99991231,20260109,21,병원,420000,EZ7770000,"기능 검사료(외피, 근골 기능 검사)/동적 족저압측정",110001,강남구,110000,서울,94,http://www.cdrusk.co.kr/renewal/sub/sub07/sub0701.php?ptype=view&idx=5815&page=1&code=payment,청담병원,회복기-GVA-W(동적족저압측정),JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ5MiQzNjE4MzIjNTEjJDEjJDIjJDgz
