analysisItem,ykiho,yadmNm,clCd,clCdNm,sidoCdNm,sgguCdNm,npayCd,npayKorNm,npayDtlDivCd,npayDtlDivCdNm,adtFrDd,adtEndDd,minPrc,maxPrc
MRI_뇌_일반,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNjEjJDEjJDQjJDgz,강북삼성병원,01,상급종합,서울,종로구,HE1010001,자기공명영상진단료(MRI-기본검사)/뇌/일반,HE1010001,일반,20260312,99991231,689000,849000
MRI_뇌_일반,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQyNjE4MzIjNjEjJDEjJDQjJDgz,건국대학교병원,01,상급종합,서울,광진구,HE1010001,자기공명영상진단료(MRI-기본검사)/뇌/일반,HE1010001,일반,20250903,99991231,805000,805000
MRI_뇌_일반,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEyMjIjODEjJDEjJDIjJDgz,경희대학교병원,01,상급종합,서울,동대문구,HE1010001,자기공명영상진단료(MRI-기본검사)/뇌/일반,HE1010001,일반,20251114,99991231,955700,955700
MRI_뇌_일반,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQ0NjEwMDIjNjEjJDEjJDAjJDgz,고려대학교의과대학부속구로병원,01,상급종합,서울,구로구,HE1010001,자기공명영상진단료(MRI-기본검사)/뇌/일반,HE1010001,일반,20260120,99991231,1045000,1045000
MRI_뇌_일반,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQzNjEwMDIjODEjJDEjJDIjJDgz,삼성서울병원,01,상급종합,서울,강남구,HE1010001,자기공명영상진단료(MRI-기본검사)/뇌/일반,HE1010001,일반,20250903,99991231,948000,948000
MRI_뇌_일반,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjE4MzIjODEjJDEjJDYjJDgz,서울대학교병원,01,상급종합,서울,종로구,HE1010001,자기공명영상진단료(MRI-기본검사)/뇌/일반,HE1010001,일반,20250909,99991231,810000,810000
MRI_뇌_일반,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjE0ODEjNTEjJDEjJDYjJDgz,연세대학교의과대학 강남세브란스병원,01,상급종합,서울,강남구,HE1010001,자기공명영상진단료(MRI-기본검사)/뇌/일반,HE1010001,일반,20250903,99991231,830000,830000
MRI_뇌_일반,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE0ODEjNjEjJDEjJDgjJDgz,연세대학교의과대학세브란스병원,01,상급종합,서울,서대문구,HE1010001,자기공명영상진단료(MRI-기본검사)/뇌/일반,HE1010001,일반,20250903,99991231,920000,920000
MRI_뇌_일반,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQyNjEwMDIjNjEjJDEjJDQjJDgz,이화여자대학교의과대학부속목동병원,01,상급종합,서울,양천구,HE1010001,자기공명영상진단료(MRI-기본검사)/뇌/일반,HE1010001,일반,20250903,99991231,786000,786000
MRI_뇌_일반,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQyNjE0ODEjNDEjJDEjJDQjJDgz,재단법인아산사회복지재단 서울아산병원,01,상급종합,서울,송파구,HE1010001,자기공명영상진단료(MRI-기본검사)/뇌/일반,HE1010001,일반,20250903,99991231,530000,980000
MRI_뇌_일반,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEwMDIjNTEjJDEjJDIjJDgz,중앙대학교병원,01,상급종합,서울,동작구,HE1010001,자기공명영상진단료(MRI-기본검사)/뇌/일반,HE1010001,일반,20250903,99991231,807500,807500
MRI_뇌_일반,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjEwMDIjNzEjJDEjJDgjJDgz,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),01,상급종합,서울,성북구,HE1010001,자기공명영상진단료(MRI-기본검사)/뇌/일반,HE1010001,일반,20260116,99991231,1045000,1045000
MRI_뇌_일반,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjE4MzIjODEjJDEjJDIjJDgz,학교법인가톨릭학원가톨릭대학교서울성모병원,01,상급종합,서울,서초구,HE1010001,자기공명영상진단료(MRI-기본검사)/뇌/일반,HE1010001,일반,20251113,99991231,610000,856000
MRI_뇌_일반,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,한양대학교병원,01,상급종합,서울,성동구,HE1010001,자기공명영상진단료(MRI-기본검사)/뇌/일반,HE1010001,일반,20250903,99991231,749000,749000
MRI_뇌_일반,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjODEjJDEjJDIjJDgz,가톨릭대학교 여의도성모병원,11,종합병원,서울,영등포구,HE1010001,자기공명영상진단료(MRI-기본검사)/뇌/일반,HE1010001,일반,20260119,99991231,763000,865000
MRI_뇌_일반,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEwMDIjNDEjJDEjJDQjJDgz,가톨릭대학교 은평성모병원,11,종합병원,서울,은평구,HE1010001,자기공명영상진단료(MRI-기본검사)/뇌/일반,HE1010001,일반,20250903,99991231,778000,778000
MRI_뇌_일반,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ2MiQyNjE0ODEjNzEjJDEjJDgjJDgz,강남베드로병원,11,종합병원,서울,강남구,HE1010001,자기공명영상진단료(MRI-기본검사)/뇌/일반,HE1010001,일반,20250903,99991231,500000,500000
